"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","5/215","174/9561",0.028735632183908,1.27786688051323,0.56102638742639,0.353718302090473,0.725914425931941,0.666868754923123,"RNF43/TLE1/DKK1/PLCB1/WNT10A",5
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","3/215","95/9561",0.0315789473684211,1.40430844553244,0.600657153517486,0.360718550448755,0.734797047210426,0.675028866336851,"CCL5/IL6/HLA-DMA",3
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","3/215","97/9561",0.0309278350515464,1.37535363222249,0.563539564310365,0.373020896883161,0.746138022608006,0.685447370051374,"AMY2B/MUC5B/PLCB1",3
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","2/215","58/9561",0.0344827586206897,1.53344025661588,0.618023098359081,0.376210256278547,0.746138022608006,0.685447370051374,"NME1-NME2/NT5E",2
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","3/215","98/9561",0.0306122448979592,1.36131941148552,0.545287070051849,0.379155966584296,0.746138022608006,0.685447370051374,"DGKG/PLCB1/PLCD4",3
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","3/215","98/9561",0.0306122448979592,1.36131941148552,0.545287070051849,0.379155966584296,0.746138022608006,0.685447370051374,"CACNA1H/PLCB1/STAR",3
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","2/215","59/9561",0.0338983050847458,1.50744974379188,0.592989246955384,0.384260681035505,0.746138022608006,0.685447370051374,"EGF/CDKN1A",2
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","3/215","99/9561",0.0303030303030303,1.34756871035941,0.527232393403182,0.385278542583043,0.746138022608006,0.685447370051374,"CDKN1A/SHC3/ESR1",3
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","3/215","99/9561",0.0303030303030303,1.34756871035941,0.527232393403182,0.385278542583043,0.746138022608006,0.685447370051374,"EGF/DGKG/PLA2G4C",3
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","4/215","142/9561",0.028169014084507,1.25266950540452,0.460076331549022,0.3967298954202,0.762678513530808,0.700642462190982,"VCAM1/IL1R1/PECAM1/CDH5",4
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","4/215","144/9561",0.0277777777777778,1.23527131782946,0.431448768497193,0.406924506130132,0.762678513530808,0.700642462190982,"C3/IL6/C4B/CD14",4
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","1/215","23/9561",0.0434782608695652,1.93346814964611,0.679782610831752,0.407686332687377,0.762678513530808,0.700642462190982,"ARG2",1
"Metabolism","Glycan biosynthesis and metabolism","hsa00515","Mannose type O-glycan biosynthesis","1/215","23/9561",0.0434782608695652,1.93346814964611,0.679782610831752,0.407686332687377,0.762678513530808,0.700642462190982,"FUT4",1
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","1/215","23/9561",0.0434782608695652,1.93346814964611,0.679782610831752,0.407686332687377,0.762678513530808,0.700642462190982,"AQP1",1
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","2/215","63/9561",0.0317460317460317,1.41173864894795,0.49729159034489,0.415994654986197,0.772963041359488,0.710090449478573,"CDKN1A/WNT10A",2
"Human Diseases","Substance dependence","hsa05034","Alcoholism","5/215","191/9561",0.0261780104712042,1.16413003774504,0.347512351611057,0.429784855132118,0.79322708161968,0.728706218521429,"GNAO1/H4C14/GNG7/H2AC19/SHC3",5
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","3/215","109/9561",0.0275229357798165,1.2239385534457,0.356628090929748,0.44555358752158,0.796631988308209,0.731834171077398,"CCL5/IL6/CD14",3
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","3/215","109/9561",0.0275229357798165,1.2239385534457,0.356628090929748,0.44555358752158,0.796631988308209,0.731834171077398,"PPP1R3B/IL6/PYGM",3
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","1/215","26/9561",0.0384615384615385,1.71037567084079,0.550110193190365,0.446849000419751,0.796631988308209,0.731834171077398,"PLA2G4C",1
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","1/215","26/9561",0.0384615384615385,1.71037567084079,0.550110193190365,0.446849000419751,0.796631988308209,0.731834171077398,"HNF4A",1
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","2/215","67/9561",0.0298507462686567,1.32745574453315,0.407944130649025,0.446893370881048,0.796631988308209,0.731834171077398,"HK1/HKDC1",2
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","5/215","196/9561",0.0255102040816327,1.1344328429046,0.288412989052064,0.451907600640293,0.796631988308209,0.731834171077398,"C3/H4C14/H2AC19/CLCN4/PLCB1",5
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","5/215","196/9561",0.0255102040816327,1.1344328429046,0.288412989052064,0.451907600640293,0.796631988308209,0.731834171077398,"C3/IL6/CDKN1A/GNG7/CCR3",5
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","2/215","70/9561",0.0285714285714286,1.27056478405316,0.344587556497249,0.469461248522295,0.814515577573612,0.748263114325998,"TGFA/CDKN1A",2
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","2/215","70/9561",0.0285714285714286,1.27056478405316,0.344587556497249,0.469461248522295,0.814515577573612,0.748263114325998,"HLA-DMA/LAMA2",2
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","1/215","28/9561",0.0357142857142857,1.58820598006645,0.472747175114353,0.471514494492943,0.814515577573612,0.748263114325998,"FUT4",1
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","2/215","71/9561",0.028169014084507,1.25266950540452,0.324103847105689,0.476861847234006,0.814515577573612,0.748263114325998,"SHC3/ESR1",2
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","2/215","71/9561",0.028169014084507,1.25266950540452,0.324103847105689,0.476861847234006,0.814515577573612,0.748263114325998,"HK1/HKDC1",2
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","3/215","115/9561",0.0260869565217391,1.16008088978766,0.261938735661221,0.480603669092694,0.815839561731425,0.749479405992505,"CDKN1A/MAFB/PLCB1",3
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","3/215","116/9561",0.0258620689655172,1.15008019246191,0.246653157390445,0.486346092960229,0.82052254947278,0.753781480855377,"GNAO1/GNG7/PLCB1",3
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/215","30/9561",0.0333333333333333,1.48232558139535,0.401297982925083,0.495085020170095,0.829051137125075,0.761616355636432,"PLA2G4C",1
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","2/215","75/9561",0.0266666666666667,1.18586046511628,0.245081979220922,0.505827775229049,0.829051137125075,0.761616355636432,"BIRC3/CDKN1A",2
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","2/215","75/9561",0.0266666666666667,1.18586046511628,0.245081979220922,0.505827775229049,0.829051137125075,0.761616355636432,"CDKN1A/SERPINE1",2
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","2/215","75/9561",0.0266666666666667,1.18586046511628,0.245081979220922,0.505827775229049,0.829051137125075,0.761616355636432,"PLCB1/ASGR1",2
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","1/215","31/9561",0.032258064516129,1.43450862715679,0.367509092281821,0.506474876498228,0.829051137125075,0.761616355636432,"RBKS",1
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","2/215","76/9561",0.0263157894736842,1.1702570379437,0.226010434252758,0.512906031613711,0.831263592564608,0.763648850585669,"MYLK/PLCB1",2
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","4/215","166/9561",0.0240963855421687,1.07156066124965,0.141063704428297,0.515721829930775,0.831263592564608,0.763648850585669,"BDKRB2/MYLK/ADRA2B/PLCB1",4
"Human Diseases","Immune disease","hsa05310","Asthma","1/215","32/9561",0.03125,1.38968023255814,0.334884455532744,0.517608969001153,0.831263592564608,0.763648850585669,"HLA-DMA",1
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","2/215","77/9561",0.025974025974026,1.15505889459378,0.20719609271667,0.519917592440409,0.831263592564608,0.763648850585669,"CDKN1A/SHC3",2
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","2/215","78/9561",0.0256410256410256,1.14025044722719,0.188631391563552,0.526861866859199,0.832683984978619,0.764953708688492,"PLCB1/PLCD4",2
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","2/215","78/9561",0.0256410256410256,1.14025044722719,0.188631391563552,0.526861866859199,0.832683984978619,0.764953708688492,"FN1/SHC3",2
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","2/215","79/9561",0.0253164556962025,1.12581689726229,0.170309090174852,0.533738323924884,0.837635400909762,0.769502377869255,"C3/HLA-DMA",2
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","5/215","216/9561",0.0231481481481481,1.02939276485788,0.0662693866105588,0.537608266352388,0.837635400909762,0.769502377869255,"CCL5/IL6/VCAM1/CD14/PLCB1",5
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","1/215","34/9561",0.0294117647058824,1.30793433652531,0.272806542664535,0.539132603494647,0.837635400909762,0.769502377869255,"RORC",1
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","2/215","83/9561",0.0240963855421687,1.07156066124965,0.0993093928469374,0.56055732567686,0.86602957618616,0.795586979080109,"ACSL1/ACOX2",2
