"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","2/215","117/9561",0.0170940170940171,0.760166964818128,-0.395876054371404,0.743937983000729,0.921127264696572,0.846203037424602,"H2AC19/DPF3",2
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","1/215","60/9561",0.0166666666666667,0.741162790697674,-0.305037310166322,0.745615785917925,0.921127264696572,0.846203037424602,"PLA2G4C",1
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","4/215","224/9561",0.0178571428571429,0.794102990033223,-0.472939575652377,0.746669605774534,0.921127264696572,0.846203037424602,"IL6/CDKN1A/IL1R1/HLA-DMA",4
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","3/215","173/9561",0.0173410404624277,0.771152036564054,-0.460700677329033,0.751346716574543,0.921127264696572,0.846203037424602,"CCL5/IL6/HLA-DMA",3
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","1/215","61/9561",0.0163934426229508,0.729012581014106,-0.322023474204827,0.751372296393417,0.921127264696572,0.846203037424602,"HEPHL1",1
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","4/215","226/9561",0.0176991150442478,0.787075529944433,-0.491312621696291,0.752884847726718,0.921127264696572,0.846203037424602,"HTR1D/HCN4/AFDN/FXYD1",4
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","1/215","62/9561",0.0161290322580645,0.717254313578395,-0.338756920874264,0.756999133896092,0.921127264696572,0.846203037424602,"CRYAB",1
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","1/215","62/9561",0.0161290322580645,0.717254313578395,-0.338756920874264,0.756999133896092,0.921127264696572,0.846203037424602,"TLE1",1
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","2/215","122/9561",0.0163934426229508,0.729012581014106,-0.45687914938146,0.764564704654256,0.926234774360883,0.850895103719088,"PLCB1/SHC3",2
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","1/215","65/9561",0.0153846153846154,0.684150268336315,-0.387527141931618,0.773130362607796,0.932165505294724,0.856343430701374,"DGKG",1
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","2/215","125/9561",0.016,0.711516279069767,-0.492399540740985,0.776239638954516,0.932165505294724,0.856343430701374,"BDKRB2/PLCB1",2
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","1/215","67/9561",0.0149253731343284,0.663727872266574,-0.418927574488844,0.783287755194263,0.936539707297489,0.860361836368985,"PLCB1",1
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","1/215","68/9561",0.0147058823529412,0.653967168262654,-0.434315481565234,0.788195395033449,0.937974469971098,0.861679895858617,"CD14",1
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","1/215","69/9561",0.0144927536231884,0.644489383215369,-0.449503981794693,0.792992402309106,0.937974469971098,0.861679895858617,"PLA2G4C",1
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","1/215","70/9561",0.0142857142857143,0.635282392026578,-0.464499287233153,0.797681259610364,0.937974469971098,0.861679895858617,"ACSL1",1
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","1/215","71/9561",0.0140845070422535,0.62633475270226,-0.479307322761434,0.802264394072884,0.937974469971098,0.861679895858617,"CCL5",1
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","1/215","72/9561",0.0138888888888889,0.617635658914729,-0.493933743393111,0.806744178611801,0.937974469971098,0.861679895858617,"TBKBP1",1
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","1/215","73/9561",0.0136986301369863,0.609174896463842,-0.508383950307743,0.811122933127395,0.937974469971098,0.861679895858617,"MAP1A",1
"Human Diseases","Infectious disease: viral","hsa05162","Measles","2/215","136/9561",0.0147058823529412,0.653967168262654,-0.616426597426724,0.814830292697132,0.937974469971098,0.861679895858617,"TNFAIP3/IL6",2
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","2/215","137/9561",0.0145985401459854,0.649193685282635,-0.627256737591203,0.818027509478499,0.937974469971098,0.861679895858617,"BIRC3/TRAF1",2
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","1/215","75/9561",0.0133333333333333,0.59293023255814,-0.53677614668206,0.819586373663178,0.937974469971098,0.861679895858617,"ARG2",1
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","2/215","138/9561",0.0144927536231884,0.644489383215369,-0.638017821986042,0.821175440790391,0.937974469971098,0.861679895858617,"IL6/FN1",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","4/215","252/9561",0.0158730158730159,0.705869324473976,-0.717669291268184,0.823364578668869,0.937974469971098,0.861679895858617,"FOLR1/PSD2/FOLR3/PARD6G",4
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","2/215","142/9561",0.0140845070422535,0.62633475270226,-0.680392894777191,0.833286029736893,0.937974469971098,0.861679895858617,"BIRC3/BIRC7",2
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","1/215","79/9561",0.0126582278481013,0.562908448631145,-0.591658720382829,0.835397355964493,0.937974469971098,0.861679895858617,"SLC1A1",1
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","2/215","143/9561",0.013986013986014,0.62195478939665,-0.690824456238343,0.836196308282135,0.937974469971098,0.861679895858617,"SIRPA/IL1R1",2
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/215","144/9561",0.0138888888888889,0.617635658914729,-0.701193097401122,0.839060798592328,0.937974469971098,0.861679895858617,"INHBB/WNT10A",2
