"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050678","regulation of epithelial cell proliferation","20/416","406/18986",0.0492610837438424,2.24824744221296,3.80528212416124,0.000681465581550273,0.0871391052086282,0.0784033001491599,"SPARC/TNFAIP3/CDKN1C/COL4A3/CCL5/TGFA/ECM1/EGF/MMP12/EAF2/CLDN1/SEMA5A/APELA/ANG/CCR3/EPGN/JCAD/BMP5/HPN/APOE",20
"GO:0010232","vascular transport","8/416","88/18986",0.0909090909090909,4.14903846153846,4.43156774749794,0.000691906127913648,0.0871391052086282,0.0784033001491599,"ABCB1/SLC16A2/SLC15A2/SLC1A1/SLC7A8/SLC6A17/SLC4A3/APOE",8
"GO:0150104","transport across blood-brain barrier","8/416","88/18986",0.0909090909090909,4.14903846153846,4.43156774749794,0.000691906127913648,0.0871391052086282,0.0784033001491599,"ABCB1/SLC16A2/SLC15A2/SLC1A1/SLC7A8/SLC6A17/SLC4A3/APOE",8
"GO:0003015","heart process","15/416","262/18986",0.0572519083969466,2.61294406928949,3.93474553836221,0.000704332247202855,0.0871391052086282,0.0784033001491599,"CACNA1H/GNAO1/GSN/SCN8A/S100A1/SLC1A1/SPX/HCN4/GJA5/APELA/TRPC1/SCN4B/SLC4A3/SCN1A/FXYD1",15
"GO:0045807","positive regulation of endocytosis","11/416","159/18986",0.0691823899371069,3.15744436381229,4.08877883588711,0.00077942671716888,0.0927384407575038,0.0834412952562165,"VTN/C3/SIRPA/CFP/EGF/SERPINE1/APELA/C4B/CD14/GAS6/APOE",11
"GO:0050878","regulation of body fluid levels","19/416","381/18986",0.0498687664041995,2.27598172824551,3.7656341188315,0.000796440259094501,0.0927384407575038,0.0834412952562165,"VTN/EPHB2/CORO2B/C1QTNF1/IL6/GP6/ENTPD2/AVPR2/GJA5/SERPINE1/ADRA2B/HNF4A/NFE2/AQP1/DGKG/ALOX12B/TSPAN8/GAS6/APOE",19
"GO:0043588","skin development","17/416","324/18986",0.0524691358024691,2.39466108736942,3.78972861096062,0.000851484500579612,0.0963150610798481,0.0866593548860574,"KRT5/GJB3/COL6A1/DLX3/ITGB4/CDKN1A/CLDN1/DKK1/CNFN/MAFB/FRAS1/KRT14/ALOX12B/IGFBP5/KRT17/WNT10A/KRT16",17
"GO:0015833","peptide transport","15/416","270/18986",0.0555555555555556,2.5355235042735,3.80345118378639,0.000956259852139855,0.0965323287941993,0.0868548412383697,"GNAO1/CCN3/SYT7/SLC16A2/CCL5/SLC15A2/RFX3/GNAZ/IL6/INHBB/IL1RN/HNF4A/AQP1/PLCB1/CPE",15
"GO:0002544","chronic inflammatory response","4/416","21/18986",0.19047619047619,8.69322344322344,5.27943666689593,0.00101151962548315,0.0965323287941993,0.0868548412383697,"TNFAIP3/CCL5/VCAM1/S100A9",4
"GO:0007413","axonal fasciculation","4/416","21/18986",0.19047619047619,8.69322344322344,5.27943666689593,0.00101151962548315,0.0965323287941993,0.0868548412383697,"EPHB2/SEMA5A/EPHB3/NCAM2",4
