"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000131323",1748.3405973336,-1.1295708150017,0.101424377249897,-11.1370741988247,8.27947892906627e-29,8.56527427580293e-27
"ENSG00000162670",279.251626153762,-2.13091860504442,0.19419371110165,-10.9731597020101,5.14426693538363e-28,5.0241141272425e-26
"ENSG00000102038",494.403428327454,-1.35900207491144,0.125306394205235,-10.8454327772418,2.09641319937641e-27,1.97827748260074e-25
"ENSG00000141384",1075.99227029237,-1.09507210478729,0.102978608003541,-10.633976570645,2.07089792438198e-26,1.85398464178966e-24
"ENSG00000196549",1079.97648571085,-1.63970822278412,0.154360473875229,-10.6225912736541,2.339743974506e-26,2.07534036884662e-24
"ENSG00000187775",396.772430222816,-2.1431711040647,0.204590076820825,-10.4754401453284,1.1201530565509e-25,9.31193904035113e-24
"ENSG00000182919",1182.21162979127,-1.01014727124411,0.0983428472043591,-10.2716903156668,9.45335921430286e-25,7.33475637705299e-23
"ENSG00000169432",87.5905548080322,-3.55700634516994,0.350995331164866,-10.1340560097057,3.9012336800029e-24,2.86761208289056e-22
"ENSG00000157703",1416.19411177879,-1.09147918957898,0.110553245301098,-9.87288239803607,5.457343065482e-23,3.66429102175585e-21
"ENSG00000271254",602.662272197264,-1.27997957946653,0.130558299627515,-9.80389284418025,1.08328415666743e-22,7.13638987359306e-21
"ENSG00000182459",196.319778763888,-1.96349079482494,0.201785322456824,-9.7305927453919,2.23287998138581e-22,1.44372230648307e-20
"ENSG00000141968",271.449061330636,-1.56883639260979,0.162737332906721,-9.64029804709303,5.40308694113826e-22,3.44563982739438e-20
"ENSG00000101695",509.43428234374,-1.12670833902306,0.117021887764025,-9.62818461188276,6.07939872575994e-22,3.85931284563469e-20
"ENSG00000088756",657.730573013009,-1.23554784514426,0.134321233539115,-9.19845517041406,3.63132602832322e-20,2.04496368191783e-18
"ENSG00000186376",167.096109503435,-1.75042775397184,0.198392779029571,-8.82304165773559,1.11391884586578e-18,5.61624209435431e-17
"ENSG00000118971",65.2606013312085,-6.44721153971996,0.764046581724731,-8.43824407298082,3.22140399901641e-17,1.46547649023659e-15
"ENSG00000164362",141.160914962363,-1.8115403631202,0.218925508259592,-8.27468839753544,1.2879198218879e-16,5.60345427803315e-15
"ENSG00000196458",481.27973729824,-1.30639195931373,0.158334327569105,-8.25084477491815,1.57278731248937e-16,6.75863003268508e-15
"ENSG00000181143",90.9680664074168,-9.88564772553909,1.20699568287923,-8.19029253025771,2.60592015040515e-16,1.08964912636402e-14
"ENSG00000177707",92.6589195419941,-2.53451599522063,0.310199520225907,-8.17059933998232,3.06861147940362e-16,1.27169815790359e-14
"ENSG00000162039",48.7636262428411,-3.7362650400687,0.462244043253629,-8.08288412711605,6.32527180279994e-16,2.58300426894456e-14
"ENSG00000277258",878.705554392793,-1.06498860301786,0.138659629791495,-7.68059603663516,1.58350083584646e-14,5.27808417027007e-13
"ENSG00000151364",65.6315304995398,-2.54855249728772,0.340519712526458,-7.48430238701585,7.19281724005158e-14,2.20779968295737e-12
"ENSG00000130477",51.3418572654258,-3.03847717259967,0.422117306125861,-7.19818194730378,6.10206852344124e-13,1.72430520844195e-11
"ENSG00000162390",139.386732406194,-1.47306748137612,0.206817599607504,-7.12254413633891,1.05952807912869e-12,2.90714521672126e-11
"ENSG00000139318",150.997606317685,-1.58119005325763,0.22869902134258,-6.91384704654722,4.71683745203048e-12,1.19991533433621e-10
"ENSG00000182463",260.481797123181,-1.30524031279536,0.189834651017528,-6.87566946181414,6.16994121449707e-12,1.54702691205864e-10
"ENSG00000168143",37.1206922497273,-3.37007088964097,0.492322649532008,-6.84524852318798,7.63432189186197e-12,1.86673237699685e-10
"ENSG00000022355",34.5598692374889,-3.63736818965579,0.543941161412553,-6.68706185097294,2.27695662908589e-11,5.17072785070138e-10
"ENSG00000174943",311.979647623001,-1.35212140603232,0.20247789892587,-6.67787157613361,2.42437335568077e-11,5.47455857110852e-10
"ENSG00000154736",43.8219160206756,-2.95184686985992,0.458224402380315,-6.44192420684301,1.17968193106783e-10,2.44361104551088e-09
